pl_name,hostname,default_flag,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_orbeccen,pl_insol,pl_eqt,st_teff,st_rad,st_mass,sy_dist,g_fraction,intensity_index
HATS-38 b,HATS-38,1,4.375021,0.05036,6.882326,23.51942,0,464.7,1294,5732,1.105,0.89,343.525,0.7463889318,3
HATS-39 b,HATS-39,1,4.5776348,0.06007,17.59813,200.2329,0.275,,1645,6572,1.621,1.379,878.521,0.9718773433,1
HATS-43 b,HATS-43,1,4.3888497,0.04944,13.22662,82.95363,0.173,,1003,5099,0.812,0.837,362.273,0.7127655584,4
HATS-46 b,HATS-46,1,4.7423729,0.05367,10.121727,54.98459,0.559,,1054,5495,0.853,0.917,453.808,0.8067534211,3
HATS-56 b,HATS-56,1,4.324799,0.06043,18.920792,191.33366,0.019,,1902,6536,2.201,1.573,564.409,0.8033814873,3
HATS-62 b,HATS-62,1,3.2768837,0.04163,11.825495,56.89157,0.298,387.4,1237,5416,0.933,0.896,523.067,0.6115307854,4
HATS-72 b,HATS-72,1,7.3279474,0.066517,8.0973816,39.855882,0.013,49.58,739.3,4656.1,0.7214,0.7311,127.589,0.913718199,2
HATS-8 b,HATS-8,1,3.583893,0.04667,9.785457,43.86054,0.376,,1324,5679,1.086,1.056,794.637,0.6885267412,4
HATS-8 b,HATS-8,0,3.583893,0.04668,9.785457,46.08535,0.25,,,5679,1.086,1.056,794.637,0.7234520108,3
HD 100546 b,HD 100546,1,,53,77.3421,2701.54146,,,,10500,,2.4,109.677,0.6788733822,4
HD 106315 c,HD 106315,0,21.05731,,4.98,14.6,0.052,,,6256,1.31,1.079,109.353,0.8849184173,2
HD 106315 c,HD 106315,0,21.05652,,4.379,12,,97,799,6364,1.269,1.154,109.353,0.9406767701,2
HD 191939 c,HD 191939,0,28.579889,0.171,3.1823776,6.1,0,,554.51,5385,0.934,0.8222,53.6089,0.9053895569,2
HD 191939 d,HD 191939,0,38.352562,0.209,3.1168896,2.2,0,,502.73,5385,0.934,0.8222,53.6089,0.3403994932,7
HD 191939 d,HD 191939,1,38.353037,0.2132,2.995,2.8,0.031,14.3,540,5348,0.94,0.81,53.6089,0.4692166792,6
HD 191939 d,HD 191939,0,38.3525,0.207,3.04,5.8,0,,549,5348,0.94,0.81,53.6089,0.9433870059,2
HD 23472 f,HD 23472,1,12.1621839,0.0906,1.137,0.77,0.07,26.3,630,4684,0.71,0.67,39.0341,0.895321182,2
HD 28109 c,HD 28109,1,56.00819,0.308,4.23,7.943,0.1203,,585.2,6120,1.446,1.26,139.611,0.6672873494,4
HD 28109 d,HD 28109,1,84.25999,0.411,3.25,5.681,0.0864,,506.5,6120,1.446,1.26,139.611,0.8084759978,3
HD 42813 b,HD 42813,0,13.630828,0.11,3.42633318,5.9,0,,703.39,5323,0.9839,0.9452,68.192,0.7554433308,3
HD 42813 b,HD 42813,0,13.63083,0.109,3.36,5.8,0,54.1,755,5240,0.97,0.94,68.192,0.772251041,3
HD 89345 b,HD 89345,1,11.8143,0.1066,7.39794,34.9613,0.22,,1089,5576,1.747,1.157,132.345,0.9602294628,1
HIP 41378 c,HIP 41378,1,31.70603,,2.727,4.4,,54,757,6320,1.273,1.16,106.289,0.8893884071,2
HIP 41378 d,HIP 41378,1,278.3618,,3.54,4.6,,3.01,367,6320,1.273,1.16,106.289,0.551772906,5
HIP 41378 e,HIP 41378,1,369,,4.92,12,,2.1,335,6320,1.273,1.16,106.289,0.7451781364,3
HIP 41378 f,HIP 41378,1,542.07975,,9.2,12,,1.24,294,6320,1.273,1.16,106.289,0.2131153124,8
HIP 9618 b,HIP 9618,1,20.772858,0.145,3.82838127,8.3,0,,640.88,5649,0.9593,0.942,67.5478,0.8512493443,2
HIP 9618 b,HIP 9618,0,20.77288,0.144,3.75,8.4,0.13,36.8,685,5550,0.95,0.93,67.5478,0.8978955399,2
HIP 9618 b,HIP 9618,0,20.772907,0.1438,3.9,10,0.22,40.3,663.4,5609,0.9662,1.022,67.5478,0.9882796428,1
HIP 9618 c,HIP 9618,1,52.56363,0.269,3.42855926,7,0,,470.31,5649,0.9593,0.942,67.5478,0.8951251985,2
K2-100 b,K2-100,0,1.67389,,3.57,8,,2100,1720,6044,1.227,1.21,188.959,0.9435450019,2
K2-138 f,K2-138,1,12.75758,0.10447,2.904,1.63,0.062,,,5356.3,0.863,0.935,202.585,0.2905383354,7
K2-138 g,K2-138,1,41.96797,0.23109,3.013,4.32,0.059,,,5356.3,0.863,0.935,202.585,0.7153104128,4
K2-141 c,K2-141,1,7.7485,0.0683,7,8,0.092,39.1,695,4570,0.681,0.708,61.8736,0.245416055,8
K2-141 c,K2-141,0,7.7485,,7,7.4,0,,,4599,0.681,0.708,61.8736,0.2270098509,8
K2-19 b,K2-19,1,7.9222,,7,32.4,0.2,,,5322,0.82,0.88,289.827,0.9939350227,1
K2-19 b,K2-19,0,7.9194,,7.74,28.5,0,,,5430,0.86,0.93,289.827,0.7151086022,4
K2-19 b,K2-19,0,7.9222,,7,32.4,,87,779,5322,0.82,0.88,289.827,0.9939350227,1
K2-19 c,K2-19,1,11.8993,,4.1,10.8,0.21,,,5322,0.82,0.88,289.827,0.9657508648,1
K2-19 c,K2-19,0,11.8993,,4.1,10.8,,51,679,5322,0.82,0.88,289.827,0.9657508648,1
K2-24 b,K2-24,0,20.88977,,5.4,19,,52,686,5625,1.16,1.07,170.562,0.97943393,1
K2-24 b,K2-24,0,20.8851,,5.68,19.8,0,,,5743,1.21,1.12,170.562,0.9225238068,2
